标准化机构名称,机构类型,分类依据,关联文献数,涉及阶段数,是否Top100,TOPSIS综合排名,TOPSIS综合得分,机构层级
中石化地球物理有限公司胜利分公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石化地球物理重点实验室,企业研发中心,企业关键词:石化,1,1,0,,,
中石化多波地震技术重点实验室,企业研发中心,企业关键词:石化,1,1,0,,,
中石化天津分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化天然气分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化天然气工程项目管理部生产协调处,企业研发中心,企业关键词:石化,1,1,0,,,
中石化天燃气销售管理公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化宁波工程有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化宁波工程有限公司技术中心,企业研发中心,企业关键词:公司,1,1,0,,,
中石化安全工程研究院,企业研发中心,企业关键词:石化,1,1,0,,,
中石化工程技术研究院,企业研发中心,企业关键词:石化,1,1,0,,,
中石化工程有限公司胜利分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化广州工程有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化总公司胜利石油化工总厂,企业研发中心,企业关键词:公司,1,1,0,,,
中石化新星石油公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化江汉油田分公司,企业研发中心,企业关键词:公司,39,1,0,,,
中石化江汉油田工程有限公司测录井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化江汉石油工程有限公司,企业研发中心,企业关键词:公司,4,1,0,,,
中石化江汉石油工程有限公司井下测试公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化江汉石油工程有限公司巴州塔里木测试分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化江汉石油工程有限公司测录井公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石化江汉石油管理局,企业研发中心,企业关键词:石化,1,1,0,,,
中石化江汉石油管理局江汉钻井二公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化江汉石油管理局测录井工程公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化江汉石油管理局第四机械厂,企业研发中心,企业关键词:石化,1,1,0,,,
中石化江汉石油管理局钻井一公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化江苏油田井下作业处,企业研发中心,企业关键词:油田,1,1,0,,,
中石化江苏油田公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化江苏油田分公司,企业研发中心,企业关键词:公司,26,1,0,,,
中石化江苏油田地质测井处,企业研发中心,企业关键词:油田,1,1,0,,,
中石化江苏油田地质科,企业研发中心,企业关键词:油田,2,1,0,,,
中石化江苏油田工程技术研究院,企业研发中心,企业关键词:油田,1,1,0,,,
中石化江苏油田工程有限公司钻井处,企业研发中心,企业关键词:公司,1,1,0,,,
中石化江苏油田工程院,企业研发中心,企业关键词:油田,1,1,0,,,
中石化江苏油田试采一厂,企业研发中心,企业关键词:油田,2,1,0,,,
中石化江苏石油勘探局,企业研发中心,企业关键词:石化,2,1,0,,,
中石化江苏石油勘探局钻井处,企业研发中心,企业关键词:石化,1,1,0,,,
中石化江苏石油工程公司地质测井处,企业研发中心,企业关键词:公司,1,1,0,,,
中石化江苏石油工程有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化江苏石油工程有限公司地质测井处,企业研发中心,企业关键词:公司,2,1,0,,,
中石化江苏石油工程有限公司安徽分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化江苏石油工程有限公司定向井技术服务公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化江苏石油工程有限公司钻井处,企业研发中心,企业关键词:公司,5,1,0,,,
中石化河南南阳油田分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化河南工程有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化河南工程有限公司钻井工程公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化河南油田井下作业处,企业研发中心,企业关键词:油田,2,1,0,,,
中石化河南油田公司勘探开发研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中石化河南油田分公司,企业研发中心,企业关键词:公司,24,1,0,,,
中石化河南油田勘探开发研究院,企业研发中心,企业关键词:油田,1,1,0,,,
中石化河南油田地球物理测井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化河南油田对外合作处,企业研发中心,企业关键词:油田,1,1,0,,,
中石化河南油田海外勘探开发研究中心,企业研发中心,企业关键词:油田,2,1,0,,,
中石化河南油田第一采油厂,企业研发中心,企业关键词:油田,2,1,0,,,
中石化河南油田采油二厂,企业研发中心,企业关键词:油田,1,1,0,,,
中石化河南石油勘探局,企业研发中心,企业关键词:石化,1,1,0,,,
中石化河南石油勘探局地球物理测井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化河南石油勘探局钻井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化河南石油勘探局钻井工程公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石化河南石油工程有限公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石化河南石油工程有限公司地球物理测井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化河南石油工程有限公司新疆分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化河南石油工程有限公司钻井工程公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化油田勘探开发事业部,企业研发中心,企业关键词:油田,3,1,0,,,
中石化洛阳分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化洛阳工程有限公司,企业研发中心,企业关键词:公司,38,1,0,,,
中石化洛阳工程有限公司设备室,企业研发中心,企业关键词:公司,1,1,0,,,
中石化济北石化有限责任公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化石油勘探开发有限公司,企业研发中心,企业关键词:公司,3,1,0,,,
中石化石油工程公司江苏油田分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化石油工程地球物理公司中原分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化石油工程地球物理公司胜利分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化石油工程地球物理有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化石油工程地球物理有限公司中原分公司,企业研发中心,企业关键词:公司,3,1,0,,,
中石化石油工程地球物理有限公司云南分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化石油工程地球物理有限公司江汉分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化石油工程地球物理有限公司江苏分公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石化石油工程地球物理有限公司河南分公司,企业研发中心,企业关键词:公司,3,1,0,,,
中石化石油工程地球物理有限公司胜利分公司,企业研发中心,企业关键词:公司,6,1,0,,,
中石化石油工程建设公司江汉油建分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化石油工程技术服务有限公司,企业研发中心,企业关键词:公司,3,1,0,,,
中石化石油工程技术服务有限公司技术发展部,企业研发中心,企业关键词:公司,1,1,0,,,
中石化石油工程技术服务有限公司测录井事业部,企业研发中心,企业关键词:公司,1,1,0,,,
中石化石油工程技术服务有限公司钻井事业部,企业研发中心,企业关键词:公司,1,1,0,,,
中石化石油工程技术服务有限公司钻井工程技术公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化石油工程技术研究院,企业研发中心,企业关键词:石化,321,3,0,,,
中石化石油工程技术研究院有限公司,企业研发中心,企业关键词:公司,7,2,0,,,
中石化石油工程机械有限公司石油机械研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中石化石油工程机械有限公司研究院,企业研发中心,企业关键词:公司,2,1,0,,,
中石化石油工程机械有限公司第四机械厂,企业研发中心,企业关键词:公司,1,1,0,,,
中石化石油工程西南有限责任公司湖南钻井分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化石油工程设计有限公司北京分院,企业研发中心,企业关键词:公司,1,1,0,,,
中石化石油机械装备重点实验室,企业研发中心,企业关键词:石化,2,1,0,,,
中石化石油物探技术研究院,企业研发中心,企业关键词:石化,2,1,0,,,
中石化第五建设有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化管道储运公司华东管道设计院线路规划室,企业研发中心,企业关键词:公司,1,1,0,,,
中石化管道储运公司武汉输油处,企业研发中心,企业关键词:公司,1,1,0,,,
中石化管道储运分公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石化股份天津分公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石化股份有限公司华东分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化股份有限公司天津分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化股份有限公司石油工程技术研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中石化股份有限公司胜利油田分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化股份胜利油田分公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石化胜利分公司,企业研发中心,企业关键词:公司,3,1,0,,,
中石化胜利油田,企业研发中心,企业关键词:油田,2,1,0,,,
中石化胜利油田东胜精攻石油开发集团股份有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利油田东胜集团公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利油田东辛采油厂,企业研发中心,企业关键词:油田,3,1,0,,,
中石化胜利油田份公司川东北工委,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利油田公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石化胜利油田分公司,企业研发中心,企业关键词:公司,177,1,0,,,
中石化胜利油田博士后科,企业研发中心,企业关键词:油田,1,1,0,,,
中石化胜利油田地质科,企业研发中心,企业关键词:油田,13,1,0,,,
中石化胜利油田大明集团,企业研发中心,企业关键词:集团,1,1,0,,,
中石化胜利油田川东北工委,企业研发中心,企业关键词:油田,1,1,0,,,
中石化胜利油田技术发展部,企业研发中心,企业关键词:油田,1,1,0,,,
中石化胜利油田技术检测中心,企业研发中心,企业关键词:油田,2,1,0,,,
中石化胜利油田新疆勘探项目管理部,企业研发中心,企业关键词:油田,1,1,0,,,
中石化胜利油田有限公司,企业研发中心,企业关键词:公司,4,1,0,,,
中石化胜利油田有限公司临盘采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利油田有限公司地质院,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利油田有限公司物探院,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利油田河口采油厂,企业研发中心,企业关键词:油田,1,1,0,,,
中石化胜利油田油气勘探公司鲁明科,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利油田滨南采油厂,企业研发中心,企业关键词:油田,1,1,0,,,
中石化胜利油田物探公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利油田物探研究院,企业研发中心,企业关键词:油田,3,1,0,,,
中石化胜利油田物探院,企业研发中心,企业关键词:油田,1,1,0,,,
中石化胜利油田石油工程技术研究院,企业研发中心,企业关键词:油田,1,1,0,,,
中石化胜利油田石油开发中心,企业研发中心,企业关键词:油田,1,1,0,,,
中石化胜利油田管理局,企业研发中心,企业关键词:油田,1,1,0,,,
中石化胜利油田股份公司采油工艺研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利油田胜利泵业有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利油田胜利采油厂,企业研发中心,企业关键词:油田,1,1,0,,,
中石化胜利油田西部新区研究中心,企业研发中心,企业关键词:油田,2,1,0,,,
中石化胜利油田西部研究中心,企业研发中心,企业关键词:油田,1,1,0,,,
中石化胜利油田采油工艺研究院,企业研发中心,企业关键词:油田,4,1,0,,,
中石化胜利油田钻井技术研究院,企业研发中心,企业关键词:油田,1,1,0,,,
中石化胜利油田鲁明公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利油田黄河钻井总公司钻井三公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利测井公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石化胜利石油工程公司井下作业公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利石油工程公司测井公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石化胜利石油工程公司物探公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利石油工程公司钻井工程技术公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利石油工程公司钻井工艺研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利石油工程技术有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利石油工程有限公司,企业研发中心,企业关键词:公司,6,1,0,,,
中石化胜利石油工程有限公司井下作业公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石化胜利石油工程有限公司地质录井三分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利石油工程有限公司地质录井公司,企业研发中心,企业关键词:公司,3,1,0,,,
中石化胜利石油工程有限公司塔里木分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利石油工程有限公司塔里木钻井公司泥浆技术管理中心,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利石油工程有限公司技术装备处,企业研发中心,企业关键词:公司,3,1,0,,,
中石化胜利石油工程有限公司测井公司,企业研发中心,企业关键词:公司,8,1,0,,,
中石化胜利石油工程有限公司测井公司资料解释中心,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利石油工程有限公司海洋钻井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利石油工程有限公司渤海钻井总公司,企业研发中心,企业关键词:公司,4,1,0,,,
中石化胜利石油工程有限公司钻井工程技术公司,企业研发中心,企业关键词:公司,12,1,0,,,
中石化胜利石油工程有限公司钻井工程技术泥浆公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利石油工程有限公司钻井工艺研究院,企业研发中心,企业关键词:公司,24,1,0,,,
中石化胜利石油工程有限公司黄河钻井三公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利石油工程有限公司黄河钻井五公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利石油工程有限公司黄河钻井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利石油工程有限公司黄河钻井总公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利石油有限公司塔里木分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利石油管理局,企业研发中心,企业关键词:石化,8,1,0,,,
中石化胜利石油管理局录井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利石油管理局渤海钻井一公司技术科,企业研发中心,企业关键词:公司,1,1,0,,,
中石化胜利石油管理局石油开发中心,企业研发中心,企业关键词:石化,2,1,0,,,
中石化胜利石油管理局西南石油工程管理中心,企业研发中心,企业关键词:石化,3,1,0,,,
中石化胜利石油管理局钻井工艺研究院,企业研发中心,企业关键词:石化,2,1,0,,,
中石化西北分公司,企业研发中心,企业关键词:公司,4,1,0,,,
中石化西北局工程研究院,企业研发中心,企业关键词:石化,1,1,0,,,
中石化西北油田分公司,企业研发中心,企业关键词:公司,61,1,0,,,
中石化西北石油局,企业研发中心,企业关键词:石化,1,1,0,,,
中石化西南井下,企业研发中心,企业关键词:石化,1,1,0,,,
中石化西南分公司,企业研发中心,企业关键词:公司,4,1,0,,,
中石化西南工程公司井下作业分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化西南油气分公司,企业研发中心,企业关键词:公司,40,1,0,,,
中石化西南油气田分公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石化西南油气田装备管理处,企业研发中心,企业关键词:石化,1,1,0,,,
中石化西南石油局,企业研发中心,企业关键词:石化,1,1,0,,,
中石化西南石油局 测井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化西南石油局临盘钻井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化西南石油局云南物探公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化西南石油局井下作业公司,企业研发中心,企业关键词:公司,3,1,0,,,
中石化西南石油局井下作业分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化西南石油局四川钻井分公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石化西南石油局固井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化西南石油局地质录井公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石化西南石油局工程监督中心,企业研发中心,企业关键词:石化,1,1,0,,,
中石化西南石油局广西钻井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化西南石油局新疆工区指挥部,企业研发中心,企业关键词:石化,1,1,0,,,
中石化西南石油局测井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化西南石油局重庆钻井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化西南石油局钻井工程研究院,企业研发中心,企业关键词:石化,6,1,0,,,
中石化西南石油工程公司地质录井分公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石化西南石油工程公司广西钻井分公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石化西南石油工程有限公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石化西南石油工程有限公司临盘钻井分公司,企业研发中心,企业关键词:公司,4,1,0,,,
中石化西南石油工程有限公司井下作业分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化西南石油工程有限公司地质录井分公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石化西南石油工程有限公司测井分公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石化西南石油工程有限公司质量健康安全环境管理处,企业研发中心,企业关键词:公司,1,1,0,,,
中石化西南石油工程有限公司重庆钻井分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化西南石油工程有限公司钻井工程研究院,企业研发中心,企业关键词:公司,3,1,0,,,
中石化西南石油管理局重庆钻井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化重庆涪陵页岩气勘探开发有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化随钻测控重点实验室,企业研发中心,企业关键词:石化,2,1,0,,,
中石化集团中原石油工程公司钻井四公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化集团公司华东石油局,企业研发中心,企业关键词:公司,1,1,0,,,
中石化集团公司石油工程管理部,企业研发中心,企业关键词:公司,1,1,0,,,
中石化集团国际石油勘探开发公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石化集团胜利油田川东北工委,企业研发中心,企业关键词:集团,1,1,0,,,
中石化集团胜利油田有限公司孤岛采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
中石化集团胜利油田渤海钻井总公司国际钻井事业部,企业研发中心,企业关键词:公司,1,1,0,,,
中石油 吉林石化公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油三次采油重点实验室,高校/科研院所,高校科研关键词:实验室,2,1,0,,,
中石油东北炼化工程有限公司吉林设计院,企业研发中心,企业关键词:公司,1,1,0,,,
中石油东北炼化工程有限公司锦州设计院,企业研发中心,企业关键词:公司,2,1,0,,,
中石油东方地球物理公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油东方地球物理公司华北物探处,企业研发中心,企业关键词:公司,1,1,0,,,
中石油东方地球物理公司国际部,企业研发中心,企业关键词:公司,1,1,0,,,
中石油东方地球物理公司研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中石油东方地球物理公司采集技术支持部,企业研发中心,企业关键词:公司,1,1,0,,,
中石油东方地球物理勘探有限责任公司深海物探处,企业研发中心,企业关键词:公司,1,1,0,,,
中石油东方地球物理勘探有限责任公司物探技术研究中心,企业研发中心,企业关键词:公司,1,1,0,,,
中石油东方地球物理勘探有限责任公司研究院,企业研发中心,企业关键词:公司,2,1,0,,,
中石油冀东油田公司研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中石油冀东油田分公司,企业研发中心,企业关键词:公司,11,1,0,,,
中石油北京天然气管道有限公司,企业研发中心,企业关键词:公司,6,1,0,,,
中石油北京石油勘探开发研究院,高校/科研院所,高校科研关键词:研究院,1,1,0,,,
中石油华北油田分公司,企业研发中心,企业关键词:公司,36,1,0,,,
中石油华北油田第四采油厂,企业研发中心,企业关键词:油田,1,1,0,,,
中石油吉林油田公司勘探开发研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中石油吉林油田分公司,企业研发中心,企业关键词:公司,5,1,0,,,
中石油吐哈油田公司工程技术研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中石油吐哈油田公司甲醇厂,企业研发中心,企业关键词:公司,1,1,0,,,
中石油吐哈油田分公司,企业研发中心,企业关键词:公司,10,1,0,,,
中石油呼和浩特石化公司基兴泰公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油呼和浩特石化公司矿区服务事业部运行管理部,企业研发中心,企业关键词:公司,1,1,0,,,
中石油呼和浩特石化公司第一联合车间,企业研发中心,企业关键词:公司,1,1,0,,,
中石油塔里木分油田勘探开发研究院,企业研发中心,企业关键词:油田,1,1,0,,,
中石油塔里木油田公司勘探开发研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中石油塔里木油田分公司,企业研发中心,企业关键词:公司,32,1,0,,,
中石油塔里木油田勘探开发研究院,企业研发中心,企业关键词:油田,1,1,0,,,
中石油塔里木油田天然气事业部,企业研发中心,企业关键词:油田,1,1,0,,,
中石油大庆有限责任公司第四采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆油田分公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石油大庆油田有限责任公司勘探事业部,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆油田有限责任公司勘探开发研究院,企业研发中心,企业关键词:公司,41,1,0,,,
中石油大庆油田有限责任公司大庆钻探公司地质录井二公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆油田有限责任公司大庆钻探地质录井一公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆油田有限责任公司大庆钻探工程公司地质录井一公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆油田有限责任公司大庆钻探工程公司录井一公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆油田有限责任公司大庆钻探工程公司测井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆油田有限责任公司大庆钻探工程公司测井公司市场管理中心,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆油田有限责任公司大庆钻探工程公司钻井一公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石油大庆油田有限责任公司大庆钻探工程公司钻井二公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆油田有限责任公司测试技术服务分公司,企业研发中心,企业关键词:公司,11,1,0,,,
中石油大庆油田有限责任公司海塔指挥部,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆油田有限责任公司海拉尔石油勘探开发指挥部,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆油田有限责任公司海拉尔石油勘探开发指挥部开发技术中心,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆油田有限责任公司第一采油厂,企业研发中心,企业关键词:公司,20,1,0,,,
中石油大庆油田有限责任公司第七采油厂,企业研发中心,企业关键词:公司,5,1,0,,,
中石油大庆油田有限责任公司第三采油厂,企业研发中心,企业关键词:公司,7,1,0,,,
中石油大庆油田有限责任公司第九采油厂,企业研发中心,企业关键词:公司,11,1,0,,,
中石油大庆油田有限责任公司第二采油厂,企业研发中心,企业关键词:公司,15,1,0,,,
中石油大庆油田有限责任公司第五采油厂,企业研发中心,企业关键词:公司,7,1,0,,,
中石油大庆油田有限责任公司第八采油厂,企业研发中心,企业关键词:公司,15,1,0,,,
中石油大庆油田有限责任公司第六采油厂,企业研发中心,企业关键词:公司,15,1,0,,,
中石油大庆油田有限责任公司第十采油厂,企业研发中心,企业关键词:公司,6,1,0,,,
中石油大庆油田有限责任公司第四采油厂,企业研发中心,企业关键词:公司,15,1,0,,,
中石油大庆油田有限责任公司采油工程研究院,企业研发中心,企业关键词:公司,2,1,0,,,
中石油大庆油田有限责任公司钻探钻井一公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆油田责任有限公司海拉尔石油勘探开发指挥部,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆油田责任有限公司第二采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆油田责任有限公司第八采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆油田钻探工程公司物探研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆石油管理局大庆钻探工程公司物探一公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆石油管理局大庆钻探工程公司钻井一公司,企业研发中心,企业关键词:公司,2,1,0,,,
中石油大庆石油管理局大庆钻探工程公司钻技一公司钻井工具分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆石油管理局钻探集团钻井三公司技术服务分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆钻探国际钻井技术服务公司定向井分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆钻探工程公司地球物理勘探二公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆钻探工程公司地质录井一公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆钻探工程公司测井二公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆钻探工程公司测井六分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆钻探工程公司钻井二公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大庆钻探工程公司钻井工程技术研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中石油大港油田分公司,企业研发中心,企业关键词:公司,17,1,0,,,
中石油大港油田勘探开发研究院,企业研发中心,企业关键词:油田,2,1,0,,,
中石油大港油田采油五厂,企业研发中心,企业关键词:油田,1,1,0,,,
中石油大港石油分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油天然气集团公司管材研究所,企业研发中心,企业关键词:公司,1,1,0,,,
中石油宁夏石化公司安环处,企业研发中心,企业关键词:公司,1,1,0,,,
中石油安全环保研究院,高校/科研院所,高校科研关键词:研究院,1,1,0,,,
中石油山东输油有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油川庆国际工程公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油川庆物探公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油川庆钻探公司国际工程公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油川庆钻探公司地质勘探开发研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中石油川庆钻探公司川西公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油川庆钻探公司钻采工程技术研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中石油川庆钻探工程公司地质勘探开发研究院,企业研发中心,企业关键词:公司,2,1,0,,,
中石油川庆钻探工程公司川东钻探公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油川庆钻探工程有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油川庆钻探工程有限公司地球物理勘探公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油川庆钻探工程有限公司地质勘探开发研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中石油川庆钻探工程有限公司钻采工程技术研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中石油川庆钻探工程有限公司长庆井下作业公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油川庆钻探工程有限公司长庆钻井总公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油川庆钻探长庆钻井总公司50053钻井队,企业研发中心,企业关键词:公司,1,1,0,,,
中石油川庆钻探长庆钻井总公司质量安全环保部,企业研发中心,企业关键词:公司,1,1,0,,,
中石油新疆油田公司,企业研发中心,企业关键词:公司,1,1,0,,,
中石油新疆油田公司勘探开发研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中石油新疆油田公司采油一厂,企业研发中心,企业关键词:公司,1,1,0,,,
中石油新疆油田公司采油二厂,企业研发中心,企业关键词:公司,2,1,0,,,
中石油新疆油田分公司,企业研发中心,企业关键词:公司,22,1,0,,,
中石油昆仑燃气有限公司新疆分公司,企业研发中心,企业关键词:公司,1,1,0,,,
