标准化机构名称,机构类型,分类依据,关联文献数,涉及阶段数,是否Top100,TOPSIS综合排名,TOPSIS综合得分,机构层级
中原油田地球物理勘探公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原油田地质录井处,企业研发中心,企业关键词:油田,3,1,0,,,
中原油田地质调查处,企业研发中心,企业关键词:油田,1,1,0,,,
中原油田塔里木钻井公司,企业研发中心,企业关键词:公司,2,1,0,,,
中原油田天然气产产销厂,企业研发中心,企业关键词:油田,1,1,0,,,
中原油田天然气产销厂,企业研发中心,企业关键词:油田,3,1,0,,,
中原油田审计中心,企业研发中心,企业关键词:油田,1,1,0,,,
中原油田对外经济贸易总公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原油田建设集团公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原油田技术监测中心,企业研发中心,企业关键词:油田,3,1,0,,,
中原油田普光分公司,企业研发中心,企业关键词:公司,5,1,0,,,
中原油田机关服务中心,企业研发中心,企业关键词:油田,1,1,0,,,
中原油田油气技术管理部,企业研发中心,企业关键词:油田,1,1,0,,,
中原油田测井公司,企业研发中心,企业关键词:公司,2,1,0,,,
中原油田测井公司数控测井中心,企业研发中心,企业关键词:公司,1,1,0,,,
中原油田物探公司仪器修理厂,企业研发中心,企业关键词:公司,2,1,0,,,
中原油田物探研究院,企业研发中心,企业关键词:油田,5,1,0,,,
中原油田物质供应处,企业研发中心,企业关键词:油田,1,1,0,,,
中原油田石油勘探局钻井一公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原油田石油化工总厂,企业研发中心,企业关键词:油田,2,1,0,,,
中原油田第一采油厂,企业研发中心,企业关键词:油田,1,1,0,,,
中原油田西南钻井公司,企业研发中心,企业关键词:公司,2,1,0,,,
中原油田采油5厂,企业研发中心,企业关键词:油田,1,1,0,,,
中原油田采油一厂,企业研发中心,企业关键词:油田,17,1,0,,,
中原油田采油三厂,企业研发中心,企业关键词:油田,5,1,0,,,
中原油田采油二厂,企业研发中心,企业关键词:油田,13,1,0,,,
中原油田采油五厂,企业研发中心,企业关键词:油田,2,1,0,,,
中原油田采油六厂,企业研发中心,企业关键词:油田,4,1,0,,,
中原油田采油四厂,企业研发中心,企业关键词:油田,10,1,0,,,
中原油田采油工程技术研究试井中心,企业研发中心,企业关键词:油田,1,1,0,,,
中原油田采油工程技术研究院,企业研发中心,企业关键词:油田,4,1,0,,,
中原油田钻井一公司,企业研发中心,企业关键词:公司,3,1,0,,,
中原油田钻井三公司,企业研发中心,企业关键词:公司,3,1,0,,,
中原油田钻井三公司钻井队,企业研发中心,企业关键词:公司,1,1,0,,,
中原油田钻井二公司,企业研发中心,企业关键词:公司,2,1,0,,,
中原油田钻井四公司,企业研发中心,企业关键词:公司,2,1,0,,,
中原油田钻井工程技术研究院,企业研发中心,企业关键词:油田,4,1,0,,,
中原油田钻采处,企业研发中心,企业关键词:油田,1,1,0,,,
中原物探公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油勘探局,企业研发中心,企业关键词:勘探局,1,1,0,,,
中原石油勘探局井下特种作业处,企业研发中心,企业关键词:勘探局,5,1,0,,,
中原石油勘探局勘察设计研究院,企业研发中心,企业关键词:勘探局,1,1,0,,,
中原石油勘探局固井工程处,企业研发中心,企业关键词:勘探局,10,1,0,,,
中原石油勘探局地球物理勘探公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油勘探局地球物理勘探公司仪修厂,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油勘探局地球物理测井公司,企业研发中心,企业关键词:公司,3,1,0,,,
中原石油勘探局地理物理测井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油勘探局地质录井处,企业研发中心,企业关键词:勘探局,1,1,0,,,
中原石油勘探局培训中心,企业研发中心,企业关键词:勘探局,3,1,0,,,
中原石油勘探局塔里木钻井公司,企业研发中心,企业关键词:公司,4,1,0,,,
中原石油勘探局塔里木钻井公司70615队,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油勘探局工程建设总公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油勘探局建设集团公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油勘探局油气储运管理处,企业研发中心,企业关键词:勘探局,1,1,0,,,
中原石油勘探局油田测井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油勘探局测井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油勘探局燃气管理处,企业研发中心,企业关键词:勘探局,1,1,0,,,
中原石油勘探局物探公司,企业研发中心,企业关键词:公司,2,1,0,,,
中原石油勘探局装备处,企业研发中心,企业关键词:勘探局,1,1,0,,,
中原石油勘探局西南钻井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油勘探局钻井一公司,企业研发中心,企业关键词:公司,7,1,0,,,
中原石油勘探局钻井三公司,企业研发中心,企业关键词:公司,4,1,0,,,
中原石油勘探局钻井三公司钻采设备厂,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油勘探局钻井二公司,企业研发中心,企业关键词:公司,6,1,0,,,
中原石油勘探局钻井二公司技术部,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油勘探局钻井四公司,企业研发中心,企业关键词:公司,5,1,0,,,
中原石油勘探局钻井工程技术研究院,企业研发中心,企业关键词:勘探局,19,1,0,,,
中原石油勘探局钻井液技术公司,企业研发中心,企业关键词:公司,2,1,0,,,
中原石油勘探局钻采处,企业研发中心,企业关键词:勘探局,3,1,0,,,
中原石油工程公司井下特种作业公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油工程公司固井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油工程公司塔里木分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油工程公司塔里木钻井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油工程公司油气开发公司地质研究所,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油工程公司钻井三公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油工程公司钻井二公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油工程公司钻井工程技术研究院,企业研发中心,企业关键词:公司,4,1,0,,,
中原石油工程技术有限公司井下特种作业公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油工程有限公司井下特种作业公司,企业研发中心,企业关键词:公司,3,1,0,,,
中原石油工程有限公司固井公司,企业研发中心,企业关键词:公司,6,1,0,,,
中原石油工程有限公司地球物理测井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油工程有限公司油气开发公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油工程有限公司油气开发公司地质工艺研究所,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油工程有限公司海外工程公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油工程有限公司西南钻井分公司,企业研发中心,企业关键词:公司,2,1,0,,,
中原石油工程有限公司钻井一公司,企业研发中心,企业关键词:公司,4,1,0,,,
中原石油工程有限公司钻井三公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油工程有限公司钻井二公司,企业研发中心,企业关键词:公司,3,1,0,,,
中原石油工程有限公司钻井四公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油工程有限公司钻井工程技术研究院,企业研发中心,企业关键词:公司,7,1,0,,,
中原石油工程设计有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油有限公司塔里木分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原石油管理局勘探开发科学研究院非常规勘探室,高校/科研院所,高校科研关键词:研究院,1,1,0,,,
中原经济区煤层气协同创新中心,其他,未命中规则,1,1,0,,,
中原钻井工程技术研究院,高校/科研院所,高校科研关键词:研究院,1,1,0,,,
中国专利信息中心,其他,未命中规则,2,1,0,,,
中国东方电气集团有限公司中央研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中国中化石油勘探开发有限公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国中化集团公司泉州石化有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国中化集团石油勘探开发有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国中铁五局集团第一工程有限责任公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国中铁十局集团有限公司济南勘察设计分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国五环工程有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国产业安全研究中心,高校/科研院所,高校科研关键词:研究中心,1,1,0,,,
中国人民大学,高校/科研院所,高校强特征:大学,11,3,0,,,
中国人民武装警察部队学院,高校/科研院所,高校强特征:学院,1,1,0,,,
中国人民解放军后勤工程学院,高校/科研院所,高校强特征:学院,3,1,0,,,
中国人民解放军总后勤部油料研究所,高校/科研院所,高校科研关键词:研究所,4,1,0,,,
中国人民解放军海军军医大学,高校/科研院所,高校强特征:大学,6,1,0,,,
中国人民解放军陆军勤务学院,高校/科研院所,高校强特征:学院,1,1,0,,,
中国兵器工业集团盘锦市北方沥青股份有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国兵器工业集团第五三研究所,企业研发中心,企业关键词:集团,1,1,0,,,
中国农业大学,高校/科研院所,高校强特征:大学,52,3,0,,,
中国农业科学院,高校/科研院所,高校强特征:学院,23,3,0,,,
中国冶金地质总局矿产资源研究院,高校/科研院所,高校科研关键词:研究院,2,1,0,,,
中国化工学会,其他,未命中规则,1,1,0,,,
中国北方发动机研究所,高校/科研院所,高校科研关键词:研究所,2,1,0,,,
中国医学科学院,高校/科研院所,高校强特征:学院,8,3,0,,,
中国医学科学院北京协和医学院,高校/科研院所,高校强特征:学院,11,2,0,,,
中国医科大学,高校/科研院所,高校强特征:大学,8,2,0,,,
中国华东科技大学,高校/科研院所,高校强特征:大学,1,1,0,,,
中国华油集团公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国华油集团公司银川分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国华电工程有限公司,企业研发中心,企业关键词:公司,5,1,0,,,
中国华电工程有限公司油气开发分公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国华电集团清洁能源有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国华电集团科,企业研发中心,企业关键词:集团,6,1,0,,,
中国华电集团科学技术研究总院,企业研发中心,企业关键词:集团,1,1,0,,,
中国华能集团公司规划发展部,企业研发中心,企业关键词:公司,1,1,0,,,
中国华能集团清洁能源技术研究院,企业研发中心,企业关键词:集团,4,1,0,,,
中国南方石油勘探开发公司,企业研发中心,企业关键词:公司,3,2,0,,,
中国南海麦克巴泥浆有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国国储能源化工集团股份公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国国土资源经济研究院,高校/科研院所,高校科研关键词:研究院,2,1,0,,,
中国国土资源航空物探遥感中心,其他,未命中规则,5,1,0,,,
中国国土资源部海洋油气资源与环境地质重点实验室,高校/科研院所,高校科研关键词:实验室,1,1,0,,,
中国国家石油公司中国石油天然气集团,企业研发中心,企业关键词:公司,1,1,0,,,
中国国家石油天然气勘探开发公司,企业研发中心,企业关键词:公司,46,3,0,,,
中国国家石油天然气勘探开发公司有限公司,企业研发中心,企业关键词:公司,6,2,0,,,
中国国际石油勘探开发公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国国际石油化工联合有限责任公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国地调局油气资源调查中心,其他,未命中规则,1,1,0,,,
中国地质大学,高校/科研院所,高校强特征:大学,2288,3,1,15,0.246451,头部引领型
中国地质大学(北京),高校/科研院所,高校强特征:大学,1313,3,1,94,0.119222,特色细分型
中国地质大学(武汉),高校/科研院所,高校强特征:大学,421,3,0,,,
中国地质大学博士后流动站,高校/科研院所,高校强特征:大学,2,1,0,,,
中国地质大学博士后科,高校/科研院所,高校强特征:大学,1,1,0,,,
中国地质大学地球科,高校/科研院所,高校强特征:大学,82,1,0,,,
