阶段,主题编号,主题标签,主题强度,平均主题概率,关键词排名,关键词,词项概率
2021-2025,T01,构造 / 复合材料 / 材料 / 强度,0.073989,0.076658,7,self,0.006432
2021-2025,T01,构造 / 复合材料 / 材料 / 强度,0.073989,0.076658,8,阻力,0.005369
2021-2025,T01,构造 / 复合材料 / 材料 / 强度,0.073989,0.076658,9,hydrogel,0.005275
2021-2025,T01,构造 / 复合材料 / 材料 / 强度,0.073989,0.076658,10,稳定性,0.005012
2021-2025,T01,构造 / 复合材料 / 材料 / 强度,0.073989,0.076658,11,层系,0.004772
2021-2025,T01,构造 / 复合材料 / 材料 / 强度,0.073989,0.076658,12,prepared,0.004631
2021-2025,T02,产品 / 热解 / 收率 / 化学,0.122277,0.117224,1,产品,0.011523
2021-2025,T02,产品 / 热解 / 收率 / 化学,0.122277,0.117224,2,热解,0.011248
2021-2025,T02,产品 / 热解 / 收率 / 化学,0.122277,0.117224,3,收率,0.008225
2021-2025,T02,产品 / 热解 / 收率 / 化学,0.122277,0.117224,4,化学,0.007033
2021-2025,T02,产品 / 热解 / 收率 / 化学,0.122277,0.117224,5,生物质,0.00633
2021-2025,T02,产品 / 热解 / 收率 / 化学,0.122277,0.117224,6,化合物,0.006175
2021-2025,T02,产品 / 热解 / 收率 / 化学,0.122277,0.117224,7,转化,0.005763
2021-2025,T02,产品 / 热解 / 收率 / 化学,0.122277,0.117224,8,构造,0.005682
2021-2025,T02,产品 / 热解 / 收率 / 化学,0.122277,0.117224,9,aromatic,0.005376
2021-2025,T02,产品 / 热解 / 收率 / 化学,0.122277,0.117224,10,分子,0.005317
2021-2025,T02,产品 / 热解 / 收率 / 化学,0.122277,0.117224,11,机理,0.005265
2021-2025,T02,产品 / 热解 / 收率 / 化学,0.122277,0.117224,12,反应,0.005217
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.053454,0.062335,1,页岩,0.034191
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.053454,0.062335,2,孔隙,0.030381
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.053454,0.062335,3,储层,0.025201
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.053454,0.062335,4,岩石,0.021035
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.053454,0.062335,5,样品,0.014717
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.053454,0.062335,6,孔隙度,0.012967
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.053454,0.062335,7,砂岩,0.011157
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.053454,0.062335,8,碳酸盐岩,0.01077
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.053454,0.062335,9,clay,0.010342
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.053454,0.062335,10,mineral,0.00968
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.053454,0.062335,11,矿物,0.008455
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,0.053454,0.062335,12,dissolution,0.008432
2021-2025,T04,水合物 / 二氧化碳 / 甲烷 / 颗粒,0.081561,0.078949,1,水合物,0.056019
2021-2025,T04,水合物 / 二氧化碳 / 甲烷 / 颗粒,0.081561,0.078949,2,二氧化碳,0.019846
2021-2025,T04,水合物 / 二氧化碳 / 甲烷 / 颗粒,0.081561,0.078949,3,甲烷,0.015564
2021-2025,T04,水合物 / 二氧化碳 / 甲烷 / 颗粒,0.081561,0.078949,4,颗粒,0.013304
2021-2025,T04,水合物 / 二氧化碳 / 甲烷 / 颗粒,0.081561,0.078949,5,液相,0.008794
2021-2025,T04,水合物 / 二氧化碳 / 甲烷 / 颗粒,0.081561,0.078949,6,实验,0.00847
2021-2025,T04,水合物 / 二氧化碳 / 甲烷 / 颗粒,0.081561,0.078949,7,浓度,0.007229
2021-2025,T04,水合物 / 二氧化碳 / 甲烷 / 颗粒,0.081561,0.078949,8,砂体,0.006877
2021-2025,T04,水合物 / 二氧化碳 / 甲烷 / 颗粒,0.081561,0.078949,9,储存,0.006434
2021-2025,T04,水合物 / 二氧化碳 / 甲烷 / 颗粒,0.081561,0.078949,10,沥青质,0.005284
2021-2025,T04,水合物 / 二氧化碳 / 甲烷 / 颗粒,0.081561,0.078949,11,growth,0.005186
2021-2025,T04,水合物 / 二氧化碳 / 甲烷 / 颗粒,0.081561,0.078949,12,注入,0.005144
2021-2025,T05,燃烧 / 采收率 / 注入 / 表面活性剂,0.073956,0.072892,1,燃烧,0.015672
2021-2025,T05,燃烧 / 采收率 / 注入 / 表面活性剂,0.073956,0.072892,2,采收率,0.01564
2021-2025,T05,燃烧 / 采收率 / 注入 / 表面活性剂,0.073956,0.072892,3,注入,0.013484
2021-2025,T05,燃烧 / 采收率 / 注入 / 表面活性剂,0.073956,0.072892,4,表面活性剂,0.012771
2021-2025,T05,燃烧 / 采收率 / 注入 / 表面活性剂,0.073956,0.072892,5,驱替,0.012723
2021-2025,T05,燃烧 / 采收率 / 注入 / 表面活性剂,0.073956,0.072892,6,浓度,0.010166
2021-2025,T05,燃烧 / 采收率 / 注入 / 表面活性剂,0.073956,0.072892,7,泡沫,0.010102
2021-2025,T05,燃烧 / 采收率 / 注入 / 表面活性剂,0.073956,0.072892,8,实验,0.00911
2021-2025,T05,燃烧 / 采收率 / 注入 / 表面活性剂,0.073956,0.072892,9,火焰,0.008937
2021-2025,T05,燃烧 / 采收率 / 注入 / 表面活性剂,0.073956,0.072892,10,润湿性,0.007959
2021-2025,T05,燃烧 / 采收率 / 注入 / 表面活性剂,0.073956,0.072892,11,储层,0.007892
2021-2025,T05,燃烧 / 采收率 / 注入 / 表面活性剂,0.073956,0.072892,12,eor,0.007862
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.163121,0.158204,1,储层,0.015301
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.163121,0.158204,2,钻井,0.010148
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.163121,0.158204,3,预测,0.006327
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.163121,0.158204,4,地震,0.006034
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.163121,0.158204,5,裂缝,0.005198
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.163121,0.158204,6,accuracy,0.005096
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.163121,0.158204,7,网络,0.004505
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.163121,0.158204,8,岩石,0.004389
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.163121,0.158204,9,优化,0.004282
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.163121,0.158204,10,模拟,0.003849
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.163121,0.158204,11,地质,0.003699
2021-2025,T06,储层 / 钻井 / 预测 / 地震,0.163121,0.158204,12,井筒,0.00369
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 二氧化碳,0.095903,0.096789,1,裂缝,0.029375
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 二氧化碳,0.095903,0.096789,2,孔隙,0.025477
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 二氧化碳,0.095903,0.096789,3,渗透率,0.021713
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 二氧化碳,0.095903,0.096789,4,二氧化碳,0.020392
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 二氧化碳,0.095903,0.096789,5,储层,0.017065
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 二氧化碳,0.095903,0.096789,6,吸附,0.015922
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 二氧化碳,0.095903,0.096789,7,水力压裂,0.013262
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 二氧化碳,0.095903,0.096789,8,应力,0.011328
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 二氧化碳,0.095903,0.096789,9,甲烷,0.010165
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 二氧化碳,0.095903,0.096789,10,页岩,0.008465
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 二氧化碳,0.095903,0.096789,11,实验,0.00772
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 二氧化碳,0.095903,0.096789,12,注入,0.007075
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.086245,0.085131,1,盆地,0.02167
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.086245,0.085131,2,断层,0.01577
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.086245,0.085131,3,构造,0.013875
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.086245,0.085131,4,储层,0.013391
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.086245,0.085131,5,沉积,0.009944
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.086245,0.085131,6,区带,0.008522
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.086245,0.085131,7,岩石,0.008301
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.086245,0.085131,8,地震,0.006721
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.086245,0.085131,9,勘探,0.005301
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.086245,0.085131,10,成藏,0.005196
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.086245,0.085131,11,分布,0.004968
2021-2025,T08,盆地 / 断层 / 构造 / 储层,0.086245,0.085131,12,上部,0.004684
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.104373,0.102097,1,催化剂,0.044764
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.104373,0.102097,2,催化,0.015054
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.104373,0.102097,3,活性,0.012657
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.104373,0.102097,4,位点,0.01163
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.104373,0.102097,5,金属,0.010084
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.104373,0.102097,6,selectivity,0.00864
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.104373,0.102097,7,cu,0.008429
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.104373,0.102097,8,转化,0.007912
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.104373,0.102097,9,构造,0.007154
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.104373,0.102097,10,吸附,0.007116
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.104373,0.102097,11,二氧化碳,0.006875
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,0.104373,0.102097,12,pt,0.005709
2021-2025,T10,二氧化碳 / 储存 / 密度 / 构造,0.081496,0.084836,1,二氧化碳,0.028881
2021-2025,T10,二氧化碳 / 储存 / 密度 / 构造,0.081496,0.084836,2,储存,0.01215
2021-2025,T10,二氧化碳 / 储存 / 密度 / 构造,0.081496,0.084836,3,密度,0.008626
2021-2025,T10,二氧化碳 / 储存 / 密度 / 构造,0.081496,0.084836,4,构造,0.008007
2021-2025,T10,二氧化碳 / 储存 / 密度 / 构造,0.081496,0.084836,5,稳定性,0.007711
2021-2025,T10,二氧化碳 / 储存 / 密度 / 构造,0.081496,0.084836,6,ion,0.007611
2021-2025,T10,二氧化碳 / 储存 / 密度 / 构造,0.081496,0.084836,7,li,0.007363
2021-2025,T10,二氧化碳 / 储存 / 密度 / 构造,0.081496,0.084836,8,分离,0.006531
2021-2025,T10,二氧化碳 / 储存 / 密度 / 构造,0.081496,0.084836,9,electrolyte,0.006171
2021-2025,T10,二氧化碳 / 储存 / 密度 / 构造,0.081496,0.084836,10,效率,0.005959
2021-2025,T10,二氧化碳 / 储存 / 密度 / 构造,0.081496,0.084836,11,electrochemical,0.005916
2021-2025,T10,二氧化碳 / 储存 / 密度 / 构造,0.081496,0.084836,12,材料,0.005816
2021-2025,T11,效率 / 电子 / 机理,0.063625,0.064885,1,dot,0.012851
2021-2025,T11,效率 / 电子 / 机理,0.063625,0.064885,2,degradation,0.012353
2021-2025,T11,效率 / 电子 / 机理,0.063625,0.064885,3,removal,0.012244
2021-2025,T11,效率 / 电子 / 机理,0.063625,0.064885,4,center,0.011117
2021-2025,T11,效率 / 电子 / 机理,0.063625,0.064885,5,treatment,0.009787
2021-2025,T11,效率 / 电子 / 机理,0.063625,0.064885,6,ph,0.007086
2021-2025,T11,效率 / 电子 / 机理,0.063625,0.064885,7,效率,0.00691
2021-2025,T11,效率 / 电子 / 机理,0.063625,0.064885,8,mg,0.006193
2021-2025,T11,效率 / 电子 / 机理,0.063625,0.064885,9,oh,0.006022
2021-2025,T11,效率 / 电子 / 机理,0.063625,0.064885,10,电子,0.005785
2021-2025,T11,效率 / 电子 / 机理,0.063625,0.064885,11,wastewater,0.005708
2021-2025,T11,效率 / 电子 / 机理,0.063625,0.064885,12,机理,0.005516
