阶段,阶段内排序,词项,总词频,文献频次,词云权重,进入词频统计文献数
2016-2020,72,致密,2841,1304,0.08193,28845
2016-2020,73,氧化,2819,1339,0.081295,28845
2016-2020,74,区块,2782,1650,0.080228,28845
2016-2020,75,黏土,2736,1363,0.078902,28845
2016-2020,76,设计,2629,1869,0.075816,28845
2016-2020,77,层段,2606,1231,0.075153,28845
2016-2020,78,沥青质,2566,600,0.073999,28845
2016-2020,79,层序,2550,1150,0.073538,28845
2016-2020,80,电子,2543,2077,0.073336,28845
2016-2020,81,频率,2478,1132,0.071462,28845
2016-2020,82,反应器,2458,1494,0.070885,28845
2016-2020,83,溶解,2441,1181,0.070395,28845
2016-2020,84,金属,2436,1376,0.07025,28845
2016-2020,85,凹陷,2406,1149,0.069385,28845
2016-2020,86,方程,2403,1495,0.069299,28845
2016-2020,87,反演,2403,982,0.069299,28845
2016-2020,88,储存,2399,1298,0.069183,28845
2016-2020,89,角度,2376,1344,0.06852,28845
2016-2020,90,多孔,2337,1410,0.067395,28845
2016-2020,91,微观,2327,1343,0.067107,28845
2016-2020,92,蒸汽,2322,731,0.066963,28845
2016-2020,93,流体,2318,1292,0.066847,28845
2016-2020,94,轻质,2316,1550,0.06679,28845
2016-2020,95,厚度,2289,1518,0.066011,28845
2016-2020,96,垂向,2278,1561,0.065694,28845
2016-2020,97,分子,2259,1487,0.065146,28845
2016-2020,98,网络,2223,1327,0.064108,28845
2016-2020,99,反应,2193,1434,0.063243,28845
2016-2020,100,扩散,2187,1070,0.06307,28845
2021-2025,1,地层,32030,18657,1.0,31222
2021-2025,2,储层,25547,8624,0.797596,31222
2021-2025,3,二氧化碳,21988,4738,0.686481,31222
2021-2025,4,构造,17324,9253,0.540868,31222
2021-2025,5,孔隙,15640,4836,0.488292,31222
2021-2025,6,催化剂,14095,4320,0.440056,31222
2021-2025,7,水合物,13005,1707,0.406026,31222
2021-2025,8,裂缝,12604,3104,0.393506,31222
2021-2025,9,页岩,11065,2739,0.345457,31222
2021-2025,10,渗透率,10489,4282,0.327474,31222
2021-2025,11,吸附,9490,3668,0.296285,31222
2021-2025,12,甲烷,8972,2896,0.280112,31222
2021-2025,13,效率,8795,5882,0.274586,31222
2021-2025,14,样品,8139,3969,0.254106,31222
2021-2025,15,盆地,7963,3685,0.248611,31222
2021-2025,16,注入,7471,2904,0.23325,31222
2021-2025,17,采收率,7438,3513,0.23222,31222
2021-2025,18,浓度,7320,4151,0.228536,31222
2021-2025,19,稳定性,6991,4626,0.218264,31222
