机构标准名,总频次,CNKI频次,WOS频次,CSCD频次
湖南科技大学,189,17,152,20
菲尔多西大学,187,0,187,0
科罗拉多大学,186,0,186,0
里昂大学,186,0,186,0
芬兰国家技术研究中心,185,0,185,0
广东省新能源与可再生能源研究重点实验室,184,0,184,0
中央大学（韩国）,183,0,183,0
康涅狄格大学,183,0,183,0
西北师范大学,183,10,163,10
中油辽河油田公司,183,183,0,0
科尔多瓦大学,182,0,182,0
中心大学,181,0,181,0
萨莱诺大学,181,0,181,0
韩国地质资源研究院,181,0,181,0
卑尔根大学,180,0,180,0
大阪大学,180,0,180,0
科英布拉大学,180,0,180,0
大不里士大学,179,0,179,0
雪佛龙能源技术公司,179,0,179,0
杭州电子科技大学,178,7,168,3
南里奥格兰德联邦大学,177,0,177,0
以色列理工学院,176,0,176,0
东京理科大学,175,0,175,0
圣卡塔琳娜联邦大学,175,0,175,0
圣路易斯华盛顿大学,175,0,175,0
塔林理工大学,175,0,175,0
杜伦大学,175,0,175,0
加泰罗尼亚理工大学,174,0,174,0
荆州市中心医院,174,174,0,0
伊斯坦布尔工业大学,173,0,173,0
卡拉布里亚大学,173,0,173,0
奥克兰大学,173,0,173,0
阿利坎特大学,173,0,173,0
阿拉巴马大学,173,0,173,0
佛罗里达州立大学,172,0,172,0
美国陶氏化学公司,172,0,172,0
广东石油化工学院,172,33,113,26
克拉科夫矿业冶金大学,170,0,170,0
加州大学河滨分校,170,0,170,0
印度石油研究所,170,0,170,0
中南林业科技大学,170,3,167,0
埃斯艾尔艾姆理工学院,169,0,169,0
乌普萨拉大学,169,1,167,1
台北科技大学,168,0,168,0
清源创新实验室,168,0,168,0
釜庆国立大学,168,0,168,0
中海石油有限公司深圳分公司,168,168,0,0
印度理工学院坎普尔分校,167,0,167,0
华北理工大学,167,0,162,5
中东科技大学,166,0,166,0
国立中兴大学,166,0,166,0
斯特拉斯克莱德大学,166,0,166,0
杭州师范大学,166,0,165,1
马德里康普顿斯大学,165,0,165,0
内蒙古大学,165,1,160,4
辽宁大学,165,7,153,5
威特沃特斯兰德大学,164,0,164,0
巴黎萨克雷大学,164,0,164,0
南华大学,164,3,160,1
匹兹堡大学,163,0,162,1
辽宁工程技术大学,163,20,126,17
佐治亚大学,162,0,162,0
旁遮普大学,162,0,162,0
澳门大学,162,0,162,0
蒙彼利埃大学,162,0,162,0
南加州大学,162,1,161,0
华威大学,162,0,161,1
广州海洋地质调查局,162,39,95,28
壳牌全球解决方案国际公司,161,0,161,0
中原大学,160,0,160,0
埃及国家研究中心,160,0,160,0
新不伦瑞克大学,160,0,160,0
耶鲁大学,159,0,159,0
韩国产业技术研究院,159,0,159,0
东北农业大学,159,3,156,0
格拉纳达大学,158,0,158,0
胡安卡洛斯国王大学,158,0,158,0
内蒙古工业大学,158,4,149,5
建国大学（韩国）,157,0,157,0
萨汉德理工大学,157,0,157,0
弗赖贝格工业大学,156,0,156,0
西里西亚理工大学,156,0,156,0
温州医科大学,156,1,155,0
绍兴文理学院,155,0,155,0
马德里理工大学,155,0,155,0
中国人民大学,155,4,150,1
中南民族大学,154,5,149,0
上海工程技术大学,154,5,147,2
比勒陀利亚大学,153,0,153,0
波城与阿杜尔地区大学,153,0,153,0
米纳斯吉拉斯联邦大学,153,0,153,0
萨格勒布大学,153,0,153,0
哥本哈根大学,153,0,152,1
三峡大学,153,12,139,2
约克大学,151,0,151,0
科姆萨茨大学,150,0,150,0
霍米巴巴国立研究院,150,0,150,0
日本国立材料科学研究所,149,0,149,0
石油工业研究院,149,0,149,0
郑州轻工业大学,149,0,149,0
里尔大学,149,0,149,0
博列斯科夫催化研究所,148,0,148,0
安特卫普大学,148,0,148,0
都柏林大学学院,148,0,148,0
四川轻化工大学,148,1,141,6
东国大学,147,0,147,0
俄克拉荷马州立大学,147,0,143,4
浙江海洋大学,147,1,133,13
帕特雷大学,146,0,146,0
新加坡科技研究局,146,0,146,0
西华大学,146,14,120,12
辽宁科技大学,145,1,140,4
中国石油西南油气田公司天然气研究院,145,145,0,0
巴利亚多利德大学,144,0,144,0
斯威本科技大学,144,0,144,0
页岩油气富集机理与有效开发国家重点实验室,144,0,144,0
首尔市立大学,144,0,144,0
长春工业大学,143,16,123,4
陕西延长石油有限责任公司研究院,143,143,0,0
中国石油集团工程技术研究有限公司,142,0,142,0
南方医科大学,142,1,141,0
光州科学技术院,141,0,141,0
维新大学,141,0,141,0
萨维塔医科与技术科学学院,141,0,141,0
马德里自治大学,141,0,141,0
斯伦贝谢多尔研究中心,140,0,140,0
澳大利亚国立大学,140,0,140,0
艾克斯-马赛大学,140,0,140,0
重庆工商大学,140,8,127,5
中国石油新疆油田分公司勘探开发研究院,140,140,0,0
北大河州联邦大学,139,0,139,0
塞阿拉联邦大学,139,0,139,0
维戈大学,139,0,139,0
格勒诺布尔-阿尔卑斯大学,139,0,138,1
浙江农林大学,139,2,137,0
勘探与生产研究院,139,38,5,96
利默里克大学,138,0,138,0
孙德胜大学,138,0,138,0
密歇根理工大学,138,0,138,0
忠北国立大学,138,0,138,0
斯特拉斯堡大学,138,0,138,0
加拿大国家研究委员会,137,0,137,0
