rank_top100,institution_norm,topsis_score,topsis_rank,research_output_subscore,academic_impact_subscore,collaboration_international_subscore,distinct_paper_count,recent_paper_ratio_2021_2025,h_index,high_cited_paper_ratio,collaboration_paper_ratio,international_collaboration_paper_ratio,partner_country_region_count
62,南京理工大学,0.14605,84,0.255757,0.371161,0.267052,1033,0.6099,49,0.1113,0.666,0.1229,31
96,中国矿业大学（北京）,0.140474,85,0.235113,0.240122,0.414041,736,0.5992,37,0.0815,0.8152,0.2092,30
82,昆明理工大学,0.139411,86,0.287281,0.220514,0.238077,879,0.7065,38,0.0705,0.6621,0.1172,24
60,山东科技大学,0.135243,87,0.230197,0.260043,0.429952,1082,0.5416,42,0.0786,0.8651,0.1497,34
25,东北石油大学,0.130378,88,0.170892,0.106903,0.325731,2080,0.2663,36,0.025,0.7668,0.0832,34
56,西北大学,0.130374,89,0.164812,0.342364,0.415243,1108,0.38,46,0.1056,0.8366,0.1715,32
76,河北工业大学,0.128298,90,0.247278,0.197467,0.255184,877,0.61,36,0.065,0.6477,0.1368,29
99,河南理工大学,0.127187,91,0.211258,0.278702,0.368342,686,0.5481,38,0.0962,0.8659,0.1327,18
48,青岛科技大学,0.126373,92,0.240759,0.209374,0.219172,1314,0.5365,40,0.0609,0.6081,0.1088,31
27,中国石油勘探开发研究院,0.120096,93,0.078041,0.304277,0.21533,1974,0.0557,53,0.0724,0.8293,0.0005,1
37,中国地质大学（北京）,0.118802,94,0.138203,0.312475,0.367336,1598,0.2509,51,0.0807,0.8748,0.0763,25
67,常州大学,0.115668,95,0.224216,0.151326,0.282725,893,0.5521,34,0.0493,0.7212,0.1299,23
59,中国石油天然气集团有限公司,0.115369,96,0.199832,0.128232,0.45805,1099,0.4659,34,0.0391,0.9545,0.1356,26
30,中国海洋石油有限公司,0.098101,97,0.112145,0.160017,0.181631,1815,0.1592,40,0.0391,0.708,0.0331,11
31,西安石油大学,0.096376,98,0.119574,0.095992,0.27578,1730,0.1884,33,0.0272,0.7861,0.0578,19
36,辽宁石油化工大学,0.069933,99,0.069043,0.0,0.056071,1595,0.084,23,0.0082,0.5429,0.0194,10
73,中海油研究总院,0.047896,100,0.010649,0.119359,0.247246,877,0.0376,31,0.0422,0.8267,0.0262,7
